index,datetime,player,channel,message
0,13/02/2026 09:51:49,bez@localhost,online-boutique-7717,Can you believe it? That influencer photoshoot is blowing up! We're making waves all over social media.
1,13/02/2026 09:51:53,bob@localhost,online-boutique-7717,dfs
2,13/02/2026 09:51:59,bez@localhost,online-boutique-7717,Our watches and loafers are all over everyone's feeds
3,13/02/2026 09:52:03,bob@localhost,online-boutique-7717,You're telling me? My inbox is packed with customer queries
4,13/02/2026 09:52:10,uptimelabs@localhost,online-boutique-7717,Welcome to Discount Disaster the responsibility is on you to size up the problem.\n\n? *Use `/help` at any time for a list of useful links and commands*\n ? *Use `/incident` to create an incident record*\n\nOnce you're ready just click start to begin
5,13/02/2026 09:55:00,daniel@localhost,online-boutique-7717,Yeah I'm seeing it traffic's surging. But nothing we didn't anticipate for
6,13/02/2026 09:55:03,hamed@localhost,online-boutique-7717,Good. We've optimised the backend for this kind of spike
7,13/02/2026 09:55:07,maya@localhost,online-boutique-7717,Let's just make sure that's all it is - legit traffic. Influencer campaigns can attract more than just customers
8,13/02/2026 09:55:12,shay@localhost,online-boutique-7717,I'll keep eyes on the dashboard. We're running at nearly 80% capacity right now for all the user actvity our platform can handle
9,13/02/2026 09:55:16,bez@localhost,online-boutique-7717,It's all good. People are scrambling to get their hands on our products. That viral post is gold
10,13/02/2026 09:55:19,daniel@localhost,online-boutique-7717,We're inching closer to max capacity. We're at 95% load now
11,13/02/2026 09:55:25,shay@localhost,online-boutique-7717,I just refreshed the website and it's now taking ages to load
12,13/02/2026 09:55:30,shay@localhost,online-boutique-7717,Is the website down? Or maybe it's just my machine
13,13/02/2026 09:55:52,PLAYER,online-boutique-7717,@daniel can you also have a look with Shay
14,13/02/2026 09:56:00,daniel@localhost,online-boutique-7717,Sure
15,13/02/2026 09:56:10,daniel@localhost,online-boutique-7717,We see a lot of https429 errors
16,13/02/2026 09:56:12,PLAYER,online-boutique-7717,sdf
17,13/02/2026 09:56:12,uptimelabs@localhost,business-comms-7717,*Incident Number INC100082:* P1 website down
18,13/02/2026 09:56:36,bez@localhost,business-comms-7717,Not again - is this a global issue ?
19,13/02/2026 09:56:51,shay@localhost,online-boutique-7717,Im seeing a lot of errors in the logs
20,13/02/2026 09:56:55,shay@localhost,online-boutique-7717,Not sure what the root cause is but we are seeing high load on our Frontend Pods - this may be due to the ongoing discount or if it could be related to any tests we were running.
21,13/02/2026 09:56:57,PLAYER,business-comms-7717,We are actively looking into it
22,13/02/2026 09:57:00,shay@localhost,online-boutique-7717,I see high number of rest-call errors like  http429 http503 and 504s
23,13/02/2026 09:57:08,shay@localhost,online-boutique-7717,```\nERROR: GET /api/GetInfo HTTP/1.1 429 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/91.0.4472.124 Safari/537.36 FrontEndApp\n``` ```\nERROR: GET /api/GetInfo HTTP/1.1 429 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/91.0.4472.124 Safari/537.36 FrontEndApp\n```
24,13/02/2026 09:57:16,shay@localhost,online-boutique-7717,Im also seeing this
25,13/02/2026 09:57:19,shay@localhost,online-boutique-7717,```\n[error]: Service unavailable cannot process request for /api/GetInfo (503).\n``` ```
26,13/02/2026 09:57:27,PLAYER,online-boutique-7717,@hamed can you also look at the errors with daniel to identify the service
